schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,a_00102_admin_data,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00102_admin_vector,00102_admin_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00102_admin_vector,00102_admin_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00102_admin_vector,admin_delete_access,PERMISSIVE,public,DELETE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00102_admin_vector,admin_insert_access,PERMISSIVE,public,INSERT,null,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))"
public,a_00102_admin_vector,admin_update_access,PERMISSIVE,public,UPDATE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00102_admin_vector,authenticated_read_access,PERMISSIVE,public,SELECT,(auth.role() = 'authenticated'::text),null
public,a_00102_admin_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00102_admin_vector,service_role_full_access,PERMISSIVE,public,ALL,(auth.role() = 'service_role'::text),null
public,a_00105_travel_vector,00105_travel_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00105_travel_vector,00105_travel_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00106_timesheet_vector,00106_timesheet_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00106_timesheet_vector,00106_timesheet_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
