table_name,column_name,data_type,is_nullable,column_default
account,id,text,NO,null
account,account_id,text,NO,null
account,provider_id,text,NO,null
account,user_id,text,NO,null
account,access_token,text,YES,null
account,refresh_token,text,YES,null
account,id_token,text,YES,null
account,access_token_expires_at,timestamp with time zone,YES,null
account,refresh_token_expires_at,timestamp with time zone,YES,null
account,scope,text,YES,null
account,password,text,YES,null
account,created_at,timestamp with time zone,NO,null
account,updated_at,timestamp with time zone,NO,null
active_agents,id,uuid,YES,null
active_agents,company_id,uuid,YES,null
active_agents,name,text,YES,null
active_agents,role,text,YES,null
active_agents,title,text,YES,null
active_agents,status,text,YES,null
active_agents,reports_to,uuid,YES,null
active_agents,capabilities,text,YES,null
active_agents,adapter_type,text,YES,null
active_agents,adapter_config,jsonb,YES,null
active_agents,budget_monthly_cents,integer,YES,null
active_agents,spent_monthly_cents,integer,YES,null
active_agents,last_heartbeat_at,timestamp with time zone,YES,null
active_agents,metadata,jsonb,YES,null
active_agents,created_at,timestamp with time zone,YES,null
active_agents,updated_at,timestamp with time zone,YES,null
active_agents,runtime_config,jsonb,YES,null
active_agents,permissions,jsonb,YES,null
active_agents,icon,text,YES,null
active_agents,pause_reason,text,YES,null
active_agents,paused_at,timestamp with time zone,YES,null
active_agents,model_config,jsonb,YES,null
active_agents,device_config,jsonb,YES,null
active_agents,deleted_at,timestamp without time zone,YES,null
active_agents,is_active,boolean,YES,null
active_companies,id,uuid,YES,null
active_companies,name,text,YES,null
active_companies,description,text,YES,null
active_companies,status,text,YES,null
active_companies,budget_monthly_cents,integer,YES,null
active_companies,spent_monthly_cents,integer,YES,null
active_companies,created_at,timestamp with time zone,YES,null
active_companies,updated_at,timestamp with time zone,YES,null
active_companies,issue_prefix,text,YES,null
active_companies,issue_counter,integer,YES,null
active_companies,require_board_approval_for_new_agents,boolean,YES,null
active_companies,brand_color,text,YES,null
active_companies,pause_reason,text,YES,null
active_companies,paused_at,timestamp with time zone,YES,null
active_companies,deleted_at,timestamp without time zone,YES,null
active_companies,is_active,boolean,YES,null
activity_log,id,uuid,NO,gen_random_uuid()
activity_log,company_id,uuid,NO,null
activity_log,actor_type,text,NO,'system'::text
activity_log,actor_id,text,NO,null
activity_log,action,text,NO,null
activity_log,entity_type,text,NO,null
activity_log,entity_id,text,NO,null
activity_log,agent_id,uuid,YES,null
activity_log,details,jsonb,YES,null
activity_log,created_at,timestamp with time zone,NO,now()
activity_log,run_id,uuid,YES,null
agent_api_keys,id,uuid,NO,gen_random_uuid()
agent_api_keys,agent_id,uuid,NO,null
agent_api_keys,company_id,uuid,NO,null
agent_api_keys,name,text,NO,null
agent_api_keys,key_hash,text,NO,null
agent_api_keys,last_used_at,timestamp with time zone,YES,null
agent_api_keys,revoked_at,timestamp with time zone,YES,null
agent_api_keys,created_at,timestamp with time zone,NO,now()
